"VideoID","PublishedDate","Title","Description","ViewCount","LikeCount","DislikeCount","FavoriteCount","CommentCount","Duration"
"04kop3CvE_s","2016-12-22T01:00:00.000Z","Creating Saturday Night Live: Cold Open to Monologue Set Change","A behind-the-scenes look at the unseen two-minute set change that went down during the opening credits to transform SNL's set from the cold open to Casey Affleck's monologue stage.

Get more SNL: http://www.nbc.com/saturday-night-live
Full Episodes: http://www.nbc.com/saturday-night-liv...

Like SNL: https://www.facebook.com/snl
Follow SNL: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Instagram: http://instagram.com/nbcsnl 
SNL Pinterest: http://www.pinterest.com/nbcsnl/

Get more SNL on Hulu: http://www.hulu.com/saturday-night-live",867732,12446,834,0,995,"PT2M49S"
"0xDzwSYj3LQ","2017-02-01T18:32:52.000Z","SNL Host Kristen Stewart Wrote a Song for Beck Bennett","Kristen Stewart hosts Saturday Night Live on February 4, 2017, with musical guest Alessia Cara.

Get more SNL: http://www.nbc.com/saturday-night-live
Full Episodes: http://www.nbc.com/saturday-night-liv...

Like SNL: https://www.facebook.com/snl
Follow SNL: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Instagram: http://instagram.com/nbcsnl 
SNL Pinterest: http://www.pinterest.com/nbcsnl/

Get more SNL on Hulu: http://www.hulu.com/saturday-night-live",498237,3063,335,0,279,"PT44S"
"1bb0SpMbXWo","2017-02-10T04:00:15.000Z","Ed Sheeran Shows SNL Host Alec Baldwin & Cecily Strong His Trump Impression","Alec Baldwin hosts Saturday Night Live on February 11, 2017, with musical guest Ed Sheeran.

Get more SNL: http://www.nbc.com/saturday-night-live
Full Episodes: http://www.nbc.com/saturday-night-liv...

Like SNL: https://www.facebook.com/snl
Follow SNL: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Instagram: http://instagram.com/nbcsnl 
SNL Pinterest: http://www.pinterest.com/nbcsnl/

Get more SNL on Hulu: http://www.hulu.com/saturday-night-live",493144,4514,205,0,247,"PT45S"
"2pRt4dFBkCA","2017-02-12T09:25:19.000Z","Jake Tapper - SNL","Kellyanne Conway (Kate McKinnon) tries to win back Jake Tapper's (Beck Bennett) trust.

Get more SNL: http://www.nbc.com/saturday-night-live
Full Episodes: http://www.nbc.com/saturday-night-liv...

Like SNL: https://www.facebook.com/snl
Follow SNL: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Instagram: http://instagram.com/nbcsnl 
SNL Pinterest: http://www.pinterest.com/nbcsnl/

Get more SNL on Hulu: http://www.hulu.com/saturday-night-live",3480240,29279,2171,0,1590,"PT4M"
"4_Gf0mGJfP8","2017-01-15T10:10:29.000Z","Donald Trump Press Conference Cold Open - SNL","President-elect Donald Trump (Alec Baldwin) holds his first press conference since getting elected.

Get more SNL: http://www.nbc.com/saturday-night-live
Full Episodes: http://www.nbc.com/saturday-night-liv...

Like SNL: https://www.facebook.com/snl
Follow SNL: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Instagram: http://instagram.com/nbcsnl 
SNL Pinterest: http://www.pinterest.com/nbcsnl/

Get more SNL on Hulu: http://www.hulu.com/saturday-night-live",11425302,110255,23801,0,26353,"PT7M57S"
"6aPhv2J89_s","2017-01-15T10:06:59.000Z","Beard Hunk - SNL","Five women (Cecily Strong, Vanessa Bayer, Felicity Jones, Kate McKinnon, Aidy Bryant) compete for Nick's (Beck Bennett) heart.

Get more SNL: http://www.nbc.com/saturday-night-live
Full Episodes: http://www.nbc.com/saturday-night-liv...

Like SNL: https://www.facebook.com/snl
Follow SNL: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Instagram: http://instagram.com/nbcsnl 
SNL Pinterest: http://www.pinterest.com/nbcsnl/

Get more SNL on Hulu: http://www.hulu.com/saturday-night-live",1262192,8019,734,0,525,"PT4M14S"
"A4kpVO56OBU","2017-02-05T09:18:58.000Z","Totinos with Kristen Stewart - SNL","The big game brings more than just the guys together.

Get more SNL: http://www.nbc.com/saturday-night-live
Full Episodes: http://www.nbc.com/saturday-night-liv...

Like SNL: https://www.facebook.com/snl
Follow SNL: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Instagram: http://instagram.com/nbcsnl 
SNL Pinterest: http://www.pinterest.com/nbcsnl/

Get more SNL on Hulu: http://www.hulu.com/saturday-night-live",3031389,44283,1317,0,2873,"PT3M24S"
"abn6cPxrc5w","2017-01-22T08:38:21.000Z","La La Land Interrogation - SNL","The police (Cecily Strong, Beck Bennett) won't stand for one man's (Aziz Ansari) opinion of the movie.

Get more SNL: http://www.nbc.com/saturday-night-live
Full Episodes: http://www.nbc.com/saturday-night-liv...

Like SNL: https://www.facebook.com/snl
Follow SNL: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Instagram: http://instagram.com/nbcsnl 
SNL Pinterest: http://www.pinterest.com/nbcsnl/

Get more SNL on Hulu: http://www.hulu.com/saturday-night-live",2245742,21909,927,0,1380,"PT4M19S"
"AzqFNs0Y7c4","2017-01-15T10:05:10.000Z","Shondra & Malik - SNL","Car trouble makes Shondra (Leslie Jones) and Malik (Kenan Thompson) put aside their differences.

Get more SNL: http://www.nbc.com/saturday-night-live
Full Episodes: http://www.nbc.com/saturday-night-liv...

Like SNL: https://www.facebook.com/snl
Follow SNL: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Instagram: http://instagram.com/nbcsnl 
SNL Pinterest: http://www.pinterest.com/nbcsnl/

Get more SNL on Hulu: http://www.hulu.com/saturday-night-live",835722,7271,718,0,536,"PT3M56S"
"cfwEJa8EdT0","2017-02-12T08:42:38.000Z","Weekend Update: Greg and Shelly Duncan - SNL","Greg and Shelly Duncan (Mikey Day, Leslie Jones) discuss their experience trying S&M.

Get more SNL: http://www.nbc.com/saturday-night-live
Full Episodes: http://www.nbc.com/saturday-night-liv...

Like SNL: https://www.facebook.com/snl
Follow SNL: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Instagram: http://instagram.com/nbcsnl 
SNL Pinterest: http://www.pinterest.com/nbcsnl/

Get more SNL on Hulu: http://www.hulu.com/saturday-night-live",285980,2433,158,0,132,"PT2M48S"
